model,accuracy_mean,accuracy_std,f1_macro_mean,f1_macro_std,elapsed_mean_sec,elapsed_std_sec,params,model_size_bytes,runs
resnet18,0.9981696813092162,0.0006723727388456217,0.9984458529964704,0.0006051259872652669,1800.1349988226666,28.309162000952693,11184207,44809163,3
efficientnet_b0,0.9979543496985358,0.0007459305803483764,0.9982428953761745,0.0005461757180385756,2051.687356922667,136.03543648894885,4026763,16382373,3
vit_small_patch16_224,0.9973083548664944,0.0007459305803483123,0.9975684222321883,0.0008129795175396165,1713.377776545333,450.2118569843109,21671439,86734581,3
resnet50,0.9962316968130922,0.0010382914256021872,0.9961387706323721,0.0015590500926871793,1666.7236127906665,60.18479454430725,23538767,94455021,3
