model,accuracy_mean,accuracy_std,f1_macro_mean,f1_macro_std,elapsed_mean_sec,elapsed_std_sec,params,model_size_bytes,runs
efficientnet_b0,0.9977390180878554,0.0009135746526957863,0.9980289352093061,0.000567399428896159,2030.4713068660003,185.23108616383956,4026763,16382373,2
resnet18,0.998546511627907,0.00022839366317389752,0.9987703267676438,0.0003172625913198812,1814.012287984,21.150469961416647,11184207,44809163,2
resnet50,0.9956395348837209,0.00022839366317389752,0.9953846354482223,0.0012037255198674912,1693.8256817894999,53.266181809623134,23538767,94455021,2
vit_small_patch16_224,0.9977390180878553,0.0,0.998025770891912,0.0002585819262282152,1888.4361548905,470.6472323996876,21671439,86734581,2
